iter	Passed	Remaining
0	147	147745
1	148	74164
2	149	49584
3	149	37292
4	150	29919
5	150	25006
6	151	21498
7	152	18866
8	152	16815
9	153	15175
10	153	13838
11	154	12721
12	155	11779
13	155	10968
14	156	10264
15	156	9649
16	157	9107
17	158	8625
18	158	8195
19	159	7806
20	159	7454
21	160	7140
22	161	6860
23	162	6593
24	162	6345
25	163	6118
26	163	5904
27	164	5706
28	165	5524
29	165	5354
30	166	5195
31	166	5046
32	167	4908
33	168	4773
34	168	4648
35	169	4528
36	169	4417
37	170	4311
38	170	4211
39	171	4115
40	172	4024
41	172	3938
42	173	3855
43	173	3776
44	174	3701
45	175	3630
46	175	3562
47	176	3495
48	176	3432
49	177	3372
50	178	3313
51	178	3256
52	179	3201
53	179	3149
54	180	3098
55	180	3049
56	181	3001
57	182	2956
58	182	2912
59	183	2870
60	183	2829
61	184	2790
62	185	2751
63	185	2714
64	186	2678
65	186	2643
66	187	2609
67	187	2572
68	188	2539
69	188	2510
70	189	2480
71	190	2451
72	190	2422
73	191	2393
74	191	2365
75	192	2338
76	192	2312
77	193	2286
78	193	2261
79	194	2237
80	195	2213
81	195	2189
82	196	2166
83	196	2144
84	197	2121
85	197	2100
86	197	2077
87	198	2057
88	199	2037
89	199	2018
90	200	1999
91	200	1980
92	201	1962
93	201	1945
94	202	1927
95	202	1910
96	203	1894
97	204	1877
98	204	1862
99	205	1846
100	205	1831
101	206	1813
102	206	1798
103	207	1784
104	207	1769
105	208	1755
106	208	1741
107	209	1728
108	209	1715
109	210	1701
110	210	1688
111	211	1676
112	211	1663
113	212	1651
114	213	1639
115	213	1626
116	214	1615
117	214	1603
118	214	1591
119	215	1580
120	216	1569
121	216	1559
122	216	1546
123	217	1536
124	217	1525
125	218	1515
126	219	1506
127	219	1494
128	219	1485
129	220	1475
130	221	1466
131	221	1457
132	222	1448
133	222	1438
134	223	1430
135	223	1421
136	224	1412
137	224	1403
138	225	1395
139	225	1386
140	226	1378
141	226	1370
142	227	1362
143	227	1354
144	228	1346
145	228	1339
146	229	1331
147	230	1324
148	230	1316
149	231	1309
150	231	1301
151	232	1294
152	232	1287
153	232	1279
154	233	1272
155	233	1265
156	234	1258
157	234	1251
158	235	1244
159	235	1237
160	236	1230
161	236	1224
162	237	1217
163	237	1211
164	238	1204
165	238	1198
166	238	1191
167	239	1185
168	239	1179
169	240	1173
170	240	1167
171	241	1161
172	241	1155
173	242	1149
174	242	1144
175	243	1139
176	243	1134
177	244	1128
178	244	1123
179	245	1117
180	245	1111
181	246	1105
182	246	1100
183	247	1095
184	247	1090
185	247	1085
186	248	1080
187	248	1075
188	249	1070
189	249	1065
190	250	1060
191	250	1055
192	251	1050
193	251	1046
194	252	1041
195	252	1036
196	253	1032
197	253	1027
198	254	1023
199	254	1018
200	255	1014
201	255	1009
202	256	1005
203	256	1001
204	257	996
205	257	992
206	258	988
207	258	984
208	258	980
209	259	976
210	259	971
211	260	967
212	260	964
213	261	960
214	261	956
215	262	952
216	262	948
217	263	944
218	263	940
219	264	936
220	264	933
221	265	929
222	265	925
223	266	921
224	266	918
225	267	914
226	267	911
227	268	907
228	268	904
229	268	900
230	269	897
231	269	893
232	270	890
233	270	886
234	271	883
235	271	880
236	272	877
237	272	873
238	273	870
239	273	867
240	274	863
241	274	860
242	275	857
243	275	854
244	276	851
245	276	848
246	277	845
247	277	842
248	278	838
249	278	836
250	279	832
251	279	829
252	280	826
253	280	824
254	281	821
255	281	818
256	282	815
257	282	812
258	282	809
259	283	806
260	283	803
261	284	801
262	284	798
263	285	795
264	285	792
265	286	790
266	286	787
267	287	784
268	287	782
269	288	779
270	288	776
271	289	774
272	289	771
273	290	768
274	290	766
275	291	763
276	291	761
277	292	758
278	292	756
279	293	753
280	293	751
281	294	748
282	294	746
283	295	743
284	295	741
285	296	739
286	296	736
287	296	734
288	297	731
289	297	729
290	298	727
291	298	724
292	299	722
293	300	720
294	300	718
295	300	715
296	301	713
297	301	711
298	302	708
299	302	706
300	303	704
301	303	702
302	304	699
303	304	697
304	305	695
305	305	693
306	306	691
307	306	688
308	307	686
309	307	684
310	308	682
311	308	680
312	309	678
313	309	676
314	309	674
315	310	672
316	310	670
317	311	667
318	311	665
319	312	663
320	312	661
321	313	659
322	313	657
323	314	655
324	314	653
325	315	651
326	315	649
327	316	647
328	316	646
329	317	644
330	317	642
331	318	640
332	318	638
333	319	636
334	319	634
335	320	632
336	320	630
337	321	628
338	321	626
339	321	625
340	322	623
341	322	621
342	323	619
343	323	617
344	324	615
345	324	613
346	325	612
347	325	610
348	326	608
349	326	607
350	327	605
351	328	604
352	328	602
353	329	601
354	330	599
355	330	598
356	331	596
357	331	594
358	332	593
359	332	591
360	333	589
361	333	588
362	334	586
363	334	584
364	335	583
365	335	581
366	336	579
367	336	578
368	337	576
369	337	574
370	338	573
371	338	571
372	339	570
373	339	568
374	340	567
375	340	565
376	341	563
377	341	562
378	342	560
379	342	559
380	343	557
381	343	555
382	344	554
383	344	552
384	345	551
385	345	549
386	346	548
387	346	546
388	346	544
389	347	543
390	347	541
391	348	540
392	348	538
393	349	537
394	349	535
395	350	534
396	350	532
397	351	531
398	351	529
399	352	528
400	352	526
401	353	525
402	353	524
403	354	522
404	354	521
405	355	520
406	355	518
407	356	517
408	357	516
409	357	514
410	358	513
411	358	511
412	359	510
413	359	509
414	360	507
415	360	506
416	361	505
417	361	503
418	362	502
419	362	500
420	363	499
421	363	498
422	364	496
423	364	495
424	365	494
425	365	492
426	366	491
427	366	490
428	367	488
429	367	487
430	368	486
431	369	485
432	369	483
433	370	482
434	370	481
435	371	480
436	371	478
437	372	477
438	372	476
439	373	474
440	373	473
441	373	472
442	374	470
443	374	469
444	375	468
445	376	467
446	376	465
447	376	464
448	377	463
449	377	461
450	378	460
451	378	459
452	379	458
453	379	456
454	380	455
455	380	454
456	381	453
457	381	451
458	382	450
459	382	449
460	383	448
461	383	447
462	384	445
463	384	444
464	385	443
465	385	442
466	386	440
467	386	439
468	387	438
469	387	437
470	388	436
471	388	434
472	389	433
473	389	432
474	390	431
475	390	430
476	391	428
477	391	427
478	392	426
479	392	425
480	393	424
481	393	422
482	394	421
483	394	420
484	395	419
485	395	418
486	396	417
487	396	416
488	397	415
489	397	413
490	398	412
491	398	411
492	399	410
493	399	409
494	400	408
495	400	407
496	401	405
497	401	404
498	402	403
499	402	402
500	403	401
501	403	400
502	404	399
503	404	398
504	405	397
505	405	396
506	406	394
507	406	393
508	407	392
509	407	391
510	408	390
511	408	389
512	409	388
513	409	387
514	410	386
515	410	385
516	411	384
517	411	383
518	412	382
519	412	380
520	413	379
521	413	378
522	414	377
523	414	376
524	415	375
525	415	374
526	416	373
527	416	372
528	417	371
529	417	370
530	418	369
531	418	368
532	419	367
533	419	366
534	420	365
535	420	364
536	421	363
537	421	362
538	422	360
539	422	359
540	423	358
541	423	357
542	424	356
543	424	355
544	425	354
545	425	353
546	426	352
547	426	351
548	427	350
549	427	349
550	428	348
551	428	347
552	429	346
553	429	345
554	430	344
555	430	344
556	431	343
557	431	342
558	432	341
559	432	340
560	433	339
561	433	338
562	434	337
563	434	336
564	435	335
565	435	334
566	436	333
567	436	332
568	437	331
569	437	330
570	438	329
571	438	328
572	439	327
573	439	326
574	440	325
575	440	324
576	441	323
577	441	322
578	442	321
579	442	320
580	443	319
581	443	318
582	444	317
583	444	316
584	445	315
585	445	314
586	446	313
587	446	312
588	446	311
589	447	310
590	447	309
591	448	309
592	448	308
593	449	307
594	449	306
595	450	305
596	450	304
597	451	303
598	452	302
599	453	302
600	454	301
601	454	300
602	455	299
603	456	299
604	456	298
605	457	297
606	457	296
607	458	295
608	459	294
609	459	293
610	460	293
611	461	292
612	461	291
613	462	290
614	462	289
615	463	288
616	464	288
617	465	287
618	465	286
619	466	285
620	467	285
621	467	284
622	468	283
623	469	282
624	469	281
625	470	281
626	470	280
627	471	279
628	471	278
629	472	277
630	473	276
631	473	275
632	474	275
633	475	274
634	475	273
635	476	272
636	476	271
637	477	270
638	477	269
639	478	269
640	478	268
641	479	267
642	479	266
643	480	265
644	481	264
645	481	264
646	482	263
647	483	262
648	483	261
649	484	260
650	484	259
651	485	258
652	485	257
653	486	257
654	486	256
655	487	255
656	487	254
657	487	253
658	488	252
659	488	251
660	489	251
661	489	250
662	490	249
663	490	248
664	491	247
665	491	246
666	492	245
667	492	244
668	493	244
669	493	243
670	494	242
671	494	241
672	495	240
673	495	239
674	496	239
675	496	238
676	497	237
677	497	236
678	498	235
679	498	234
680	499	233
681	499	233
682	500	232
683	500	231
684	501	230
685	501	229
686	502	228
687	502	227
688	503	227
689	503	226
690	504	225
691	504	224
692	505	223
693	505	222
694	506	222
695	506	221
696	507	220
697	507	219
698	508	218
699	508	218
700	509	217
701	509	216
702	510	215
703	510	214
704	511	213
705	511	213
706	512	212
707	512	211
708	513	210
709	513	209
710	514	208
711	514	208
712	515	207
713	515	206
714	516	205
715	516	204
716	517	204
717	517	203
718	518	202
719	518	201
720	519	200
721	519	200
722	519	199
723	520	198
724	520	197
725	521	196
726	522	196
727	522	195
728	523	194
729	523	193
730	524	192
731	524	192
732	525	191
733	525	190
734	526	189
735	526	189
736	527	188
737	527	187
738	528	186
739	529	185
740	529	185
741	530	184
742	530	183
743	531	182
744	531	181
745	532	181
746	532	180
747	533	179
748	533	178
749	533	177
750	534	177
751	534	176
752	535	175
753	536	174
754	536	174
755	537	173
756	537	172
757	538	171
758	538	171
759	539	170
760	539	169
761	540	168
762	540	167
763	541	167
764	541	166
765	542	165
766	542	164
